0.020049,0.085634,0.207924,0.37095,0.597279,0.870073,0.445645,0.190564,0.193832,0.118498,0.082656,0.366233,0.287753,0.077906,0.194621,0.275988,0.236415,0.740497,0.775496,0.171276,0.087465,0.044278,0.031065,0.325163,0.181659,0.21945,0.047828,0,0.812466,0.061068,0.102038,0.137643,0.21882,0.192918,0.006571,0.313385,0.3691,0.133284,0.211444,0.030178,0.043276,0.378609,0.353663,0.241635,0.088271,0.390861,0.476218,1
0.074992,0.121564,0.140984,0.202345,0.289732,0.745687,0.54747,0.04934,0.024287,0.120975,0.281139,0.32198,0.253989,0.107764,0.130276,0.167877,0.130758,0.44983,0.731421,0.02574,0.111658,0.252728,0.295268,0.248103,0.119645,0.144876,0.21862,0.217493,0.623412,0.097478,0.222192,0.24947,0.267327,0.137791,0.251249,0.420429,0.080388,0.204521,0.221484,0.239907,0.260938,0.407859,0.43771,0.201042,0.200728,0.380849,0.430761,1
0.083922,0.127808,0.109725,0.148771,0.180273,0.716714,0.842042,0.062231,0.066218,0.120196,0.141209,0.167548,0.040087,0.108713,0.102572,0.153239,0.226144,0.405295,0.903506,0.05718,0.105493,0.135697,0.149496,0.018962,0.09411,0.140559,0.297826,0.22438,0.674515,0.087971,0.1222,0.133712,0.042237,0.136512,0.311459,0.40983,0.025368,0.114006,0.120949,0.099951,0.30979,0.38692,0.505695,0.107736,0.117085,0.355382,0.499711,1
0.063185,0.172093,0.261386,0.246856,0.190007,0.761176,0.553096,0.113133,0.145648,0.135703,0.152528,0.161747,0.153693,0.151587,0.227511,0.185118,0.169172,0.431295,0.673496,0.128509,0.123839,0.128429,0.072222,0.232203,0.202369,0.149075,0.253764,0.272439,0.54439,0.107699,0.111861,0.078314,0.210665,0.135438,0.275411,0.494886,0.048912,0.103713,0.087501,0.101573,0.278407,0.486041,0.541184,0.086414,0.058128,0.458815,0.554525,1
0.029797,0.062068,0.114637,0.17691,0.159124,0.816169,0.515085,0.069803,0.080012,0.102639,0.113705,0.221764,0.203904,0.058406,0.115098,0.183411,0.202591,0.524597,0.728136,0.074379,0.095261,0.079666,0.132987,0.189488,0.110886,0.177202,0.31784,0.20379,0.670312,0.082086,0.057726,0.079262,0.160562,0.176793,0.349974,0.449266,0.193865,0.048324,0.052939,0.100464,0.357556,0.457537,0.363829,0.037308,0.105152,0.439584,0.373107,1
0.461296,0.536865,0.55603,0.708348,0.415787,0.421967,0.417458,0.04599,0.052168,0.066557,0.08285,0.085497,0.164111,0.53094,0.572623,0.698309,0.764199,0.132673,0.33936,0.043386,0.057056,0.077194,0.026046,0.113177,0.579102,0.67791,0.84686,0.477012,0.216977,0.04301,0.066283,0.060118,0.294491,0.664482,0.862897,0.678362,0.280626,0.059737,0.064717,0.33266,0.865945,0.691339,0.557608,0.057639,0.292015,0.685338,0.511544,1
0.135733,0.096095,0.411092,0.595234,0.520194,0.98888,0.14431,0.0739,0.165558,0.156399,0.011958,0.044928,0.236664,0.088246,0.381021,0.480605,0.197774,0.873437,0.562301,0.154002,0.139803,0.033682,0.117076,0.073711,0.35558,0.408837,0.061751,0.053563,0.751481,0.12099,0.048619,0.157529,0.011197,0.369574,0.056993,0.377781,0.458393,0.058062,0.172798,0.019069,0.072598,0.48133,0.267238,0.175287,0.045339,0.509962,0.414735,1
0.057114,0.061709,0.0498,0.064376,0.368203,0.836532,0.534105,0.066965,0.095449,0.05354,0.093858,0.053538,0.051521,0.053294,0.038163,0.016359,0.084883,0.583221,0.88711,0.080609,0.053704,0.127879,0.082306,0.058863,0.028395,0.02535,0.204045,0.163924,0.89172,0.047213,0.135536,0.146906,0.033921,0.041833,0.256875,0.461933,0.433185,0.1383,0.165948,0.035524,0.276951,0.492972,0.312674,0.167401,0.06768,0.48496,0.417828,1
0.09756,0.296571,0.536892,0.598081,0.667377,1,0.152158,0.08356,0.035698,0.046552,0.133314,0.162876,0.014574,0.281482,0.514556,0.499694,0.263027,1,0.581209,0.031726,0.060116,0.137082,0.135626,0.058127,0.493217,0.43637,0.09023,0.135741,0.828849,0.059342,0.13112,0.104341,0.04933,0.401719,0.101173,0.338661,0.605619,0.127781,0.082407,0.036216,0.131765,0.496459,0.204959,0.064337,0.066712,0.554591,0.410559,1
0.056321,0.148135,0.381378,0.531037,0.524575,0.82777,0.250032,0.091884,0.090919,0.002995,0.059966,0.138951,0.129174,0.129988,0.333386,0.394548,0.163883,0.526671,0.561794,0.080648,0.008943,0.062492,0.075971,0.022451,0.298061,0.315987,0.030424,0.221074,0.605724,0.004479,0.060621,0.053325,0.086791,0.275619,0.062927,0.461272,0.192784,0.060001,0.049561,0.10452,0.086958,0.465903,0.356674,0.045416,0.084064,0.445305,0.381882,1
